Date,Inq
18-Jun,"hi deborah 
thank you for the follow up phone call i now have greater detail regarding the request our public works department is looking for a 1 5 day training that combines day 2 from the following training https //www lean org/workshops/workshopdescription cfm?workshopid=69 with the objectives that are included in this course https //www lean org/workshops/workshopdescription cfm?workshopid=117 specifically 
?learn how to ask open questions to help team members become more aware of their problem solving habits and develop the skills they need to become more effective problem solvers
?help teams avoid assumptions or jumping to conclusions ask the right questions & avoid mistakes and delays 
?be a much more effective coach by avoiding the common pitfall of unconsciously taking over the problem solving thinking from the team 
?facilitate problem solving in a way that both engages associates and staff while delivering the business improvement goals of your organizations"
18-Jun,strengthening leaders on kata improvement
18-Jun,we routinely employ temporary workers to meet variable production needs we have approx 10 work cells where these workers may be assigned there is no consistency in who provides training the training methodology or the assessment of training effectiveness as a result we experience inconsistent production rates rework dissatisfaction on the part of the workers and a lack of confidence in the output of the workers we recently were recommended for registration to iso 9001 2015 and want to address these concerns
18-Jun,we are starting our lean journey at our production and fulfillment center and will need lean 101 training for our supervisor level to start i have been hired on to help facilitate our training and mentoring in lean change management and will be the point of contact as we begin the journey here
18-Jun,foundation of lean process management
18-Jun,hi arc is about 10000 people globally producing glass tableware for consumer food service and b2b applications we're in the middle of a lean transformation and there are lots of areas where we could use some help in teaching lean principles training organizing lean initiatives internally like kaizen workshops and much more i've been doing lean stuff for 25 years
18-Jun,"like everyone we are trying to shorten our development cycle i would like to see if i could get pricing on bringing the ""lean product and process development"" workshop to my site"
18-Jun,increase productivity
18-Jun,my team understands lean concepts i'm looking for deep dives into implementation and any pitfalls/tips to be aware of
18-Jun,lean education to move towards lean business practices
18-Jun,our company is an electro mechanical assembler of high performance audio products we are not able to meet our customer orders month to month back orders are normal we have quality issues 2 3% out of box failures our financial performance is poor we have a net loss ebitda our customer service is slow and not meeting customer expectations simply we need a complete overhaul
18-May,"transitioning our leadership team from a ""do it my way"" mentality to a gemba coaching mentailty"
18-May,high work in progress inventory slow cycle times long lead times for customers
18-May,"our continuous process improvement office has a number internal staff who have not been exposed to lean 
we are interested in key concepts of lean and maybe vsm"
18-May,we are interested in embarking on a lean program in our organization and would like to investigate on site training for a group of leaders and team members
18-May,improve problem solving and efficiency in a new product development organization
18-May,"we are beginning our lean transformation journey at james hardie and would like to inquire about joining the partnership of the selected few companies that have access to your incredible thought leaders like prof shook or prof womak for coaching and mentoring and sharing with other companies that are in the journey of becoming lean organizations 

james hardie is a $1 9b dollar revenue company with 9 plants soon to be 11 in the us that wants to accelerate its organic growth rate through becoming a world class manufacturing company and increase the performance of its plant sites by designing a business system that helps us improve the actual work while developing and engaging the people in the process and changing the way our leaders think and act our global management team is fully committed to this transformation and have established it as a top priority for our company not only in the us but also globally"
18-May,we need the ability to provide training to our ci working group and coaches on lean principles thus far we have not been able to scale this type of training to meet our needs because we don't have enough expertise in house the ultimate goal of the ci working group is to embed a lean culture across the teams of gs operations
18-Apr,i am looking for a 1/2 day overview on value stream mapping to help the education for my lean leaders we struggle to understand how to apply and use vsm we map a lot of processes and have had success there but understanding a complete vsm is a challenge for us
18-Apr,i want to drive lean concept in my company
18-Apr,optimize manufacturing work cell design for new product introduction maximizing throughput with repeatable process steps without excessive capex
18-Apr,encouraging the use of lean principles in identifying analyzing and improving current processes making this approach standard practice and build a culture of continuous innovation and improvement
18-Apr,we have been on our lean journey for 4 5 years now as we look ahead to 2020 and what is going to be required in order to evolve we are bringing our thought leaders around lean together to start thinking about our lean transformation and what is required from the perspectives of process automation digital & leadership it is important for us to be able to start planning our strategy for the next few years
18-Apr,i am a process improver team of 1 lean and continuous improvement is a new concept at my company i am working to get a culture change and to get people excited about fixing what bugs them i'd like to have a better understanding of what lei has to offer in terms of training and support before i pitch the idea to my vp
18-Mar,we have 15 20 people annually needing training in lean concepts
18-Mar,lean basic training with a hands on workshop
18-Mar,jit ordering lean processes kaizen training root cause training
18-Mar,we are building a new facility with new equipment and processes that we need to train both existing and new employees on
18-Feb,aspyr a game software company transitioning from a 20 year history doing pure video game ports known technology known brands known creative into increasingly more complex one off products we are in well worn ruts of business optimized around a consistent approach to a consistent product but that product is going away
18-Feb,we have an off site march 1st with the global operations & supply chain leadership team we all have different degrees of experience with lean over half team thinks they understand lean but don't i'm looking for a basic hands on simulation to teach them without it coming across as patronizing since they are very senior level executives we are starting the journey towards a lean production system and it's clear there is a lack of understand basic concepts one hot button is schedule adherence and flow pull the concept around running only what you need right now we measure absorption and run regardless of the need we are an equipement focused company oee versus process focused
18-Feb,"1 provide a common model approach and language for improvement work specifically around pdsa and daily incremental improvement 
 2 we have limited resources to provide training so having someone external provide the training is preferable"
18-Feb,we are doing more and more value stream improvement work we have gaps in both having a standard way to approach this work and in the skill level of our internal consultants to lead this work
18-Feb,improve the culture of our workforce to be more engaged in continuous improvement
18-Feb,as one of your program titles said i'm trying to get the organization to shift their day to day work from fire fighting to long term planning and effective problem solving to improve the way we work
18-Feb,continuous education of management level personnel
18-Jan,looking at bringing your 2 day strategy deployment and alignment through hoshin class onto our base
18-Jan,"my production manager and i are trying to decided whether to attend your ""lead with respect"" workshop in cambridge ma or if its a bigger benefit to have on sight training which would include more people 

we're having push back in our shipping department they are so resistive to change that they're actually going around our back and complaining to our ceo that our methods will not work and we're not listening to their needs 

in our lean journey which begin in 2008 i've never ran into such a hard group and our ceo is convinced we need to be better listeners at this point their resistance is based on assumptions whereas we've collected data and have presented a process that will improve flow out our shipping doors 

i feel our management team and a few other leaders within the company need to learn that their support is key to a lean transformation 

as personal growth for me i would like to do everything i can to lead with respect"
18-Jan,we are looking to secure a key note speaker to perform for roughly 200 employees for approximately 60 to 90 minutes
18-Jan,develop lean manufacturing culture in the company + give the team the tools to help solves mfg problems
18-Jan,not necessarily solving a problem lean principles are new to the college and we would like to introduce/integrate them in to our culture/community
18-Jan,we are looking to better equip our leaders with lean coaching skills we have been on our agile/lean transformation journey for about 6 years we have added new team members with varying experience and have not invested a lot in training people in the coaching space
18-Jan,the lack of knowledge in lean manufacturing principles/tools
18-Jan,a lack of formal process oriented problem solving is occurring at our facility
17-Dec,our senior leader team would like to learn more about lean leadership in order to support the organization's journey
17-Dec,root cause analysis and maintenance tasks optimization
17-Dec,alignment across the organization to some common strategic objectives and then engaging team members in achieving those objectives
17-Dec,"we have applied 5s and have had general lean manufacturing training but we build machines automation systems and measuring systems for the railway industry and have a engineered to order high mix low volume product line we find general lean principles are not benefitting us and need an approach more tailored to our high mix low volume situation 
see product line at smtgroup com"
17-Dec,"i am trying to find an external ""trainer for train the trainer certification"" i believe we would benefit from your services"
17-Dec,the president tom jackson of steel encounters has recently been introduced to the continuous improvement movement and would like to have a workshop to introduce this philosophy and processes demonstrated to the multiple divisions of our company
17-Dec,coaching expertise
17-Dec,need training on the hoshin kanri process
17-Nov,"i joined as gm 2 years ago we are a small organization that is growing very quickly the methods used to get the job done in the past aren't working anymore and i feel there is an enormous amount of waste in the organization that is simply looked at as ""its how we've always done things around here"" also we have very few processes mapped out and none that have been looked at from a value add perspective lastly problem solving tends to be slow and reactive"
17-Nov,our company is new to lean we would like to set up beginning intermediate and advance training for a select group of people
17-Nov,further development of managers in lean management thinking to continuously develop processes and procedures
17-Nov,culture shift and reinforcement of focusing on process improvement
17-Nov,difficulty of dissemination of lean knowledge that exists in our organization too slow one believer is not an effective teacher and one is neither knowledgeable enough nor able to teach for personal limitations on travel to main plant [me]
17-Nov,"lean production system improvements in place 10 years ago have been neglected and our leadership / management team does not know how to transform and sustain our lean culture collectively we know most of the ""lean tools"" but struggle to adapt them to our business and struggle with how leaders can drive improvement when our business is actually stressed by customer demand / typical business challenges we revert to firefighting"
17-Nov,"our consultants all have lean six sigma training either at the green or black belt level and are responsible for leading process improvement projects within sun life 
many do not have business process transformation/redesign training or experience in leading projects that involve major process redesign/process transformation to address gaps or new business requirements"
17-Nov,training the manufacturing/operations leadership team
17-Nov,we as a county are beginning to adopt baldrige to improve how our organization conducts its business in relation to constituents employees and other stakeholders as part of this effort we want to train a core of people who can effectively use lean tools to improve our processes
17-Nov,"we are interested in the ""key concepts of lean "" and are interested in possibly bringing the training to ""us "" we have some manufacturing/assembly environments with management who due to tenure are not well grounded in lean"
17-Oct,lack pf understanding lean concepts
17-Oct,sharpen the skills of my manufacturing engineering team and maybe some other key change agents in our facility
17-Oct,our current gemba process is not as impactful as intended we are looking to strengthen the process
17-Oct,focus on high mix low volume strategies and improvements
17-Oct,we need a systematic approach to operating our distribution center more efficiently thus being able to better service our customers
17-Sep,root cause problem solving we need to enable our j&j ethicon team here in san angelo texas to deep dive and solve the root cause of the many issues we face on a daily basis both simple and complex issues by systematically addressing the root cause and not the symptoms of the issues
17-Sep,interested in receiving the getting the right things done training on site
17-Sep,we want to enhance the a3 problem solving capabilities of team members in operations
17-Sep,we are installing our roche lean production system and need to build capability in various methods to support long term sustainment we follow a leader led learn do teach model and are identifying vendors that could provide workshops training coaching for some of the gap areas
17-Sep,"2+ years into lean transformation we'd like to focus on our department chiefs and managers and provide them with tools to help coach in the lean environment 
looking for a 3 hour workshop with tools that can be immediately incorporated hoping you can help"
17-Sep,not one particular problem
17-Sep,we are looking to bring someone to our deerfield il office to train a group of 10 continuous improvement managers we would like this training to mirror in knowledge that of a lean 6sigma green belt certification the goal is not to get officially certified but more to educate our team members with knowledge they can apply in our daily work we are looking to have this training done within the next 30 to 60 days ideally
17-Aug,we need to develop new training curriculum to support the work we are doing with dms and problem solving skills for our staff looking for support to help evaluate current curriculum and provide support in the area of training and development for our staff
17-Aug,our company wide problem solving and mamagement skills are not effective in gaining the results we need
17-Aug,improving efficiency
17-Aug,the department has a historical culture of working in silos across business lines resulting in disorganized work flows competing priorities lack of transparency and employee disengagement
17-Aug,need to reduce cost/case
17-Aug,comunicating the value of lss in sales & marketing
17-Aug,i am looking for lean services training that can be done for a global procurement team that sources services and it
17-Aug,unhealthy competition for time on machines between production and maintenance current mentality is acceptance of machine breakdowns which needs to be replaced with world class attitude of prioritizing preventive maintenance
17-Aug,improved lean / production / conflict resolution / delegation
17-Jul,want to establish an a3 training program for our company
17-Jul,to learn more/understand the process about value stream mapping and how it can be of benefit
17-Jul,drive simplification in process design and bring lean thinking into day to day consulting activities
17-Jul,just want to improve systems and processes educate staff
17-Jul,strategy deployment is something that is not done well within the organizaton and something that is not done well at the plant level i would like to introduce the tool to my team so they can learn the value and power in strategy deployment in any large orginaztion it is easy to lose focus and learning this tool an process will help my team focus on the critical few and drive imporovement within thei respective orginzations
17-Jul,my direct reports need more hands on experience and training on the improvement kata and coaching kata
17-Jul,merrill technologies group mtg is in the midst of doing a lean transformation on our business we are trying to find training for our executive team to bring them up to speed with the lean training already performed for our lean champions i found your lean management system training on line and thought it would be a good fit although we'd like to do our training on site
17-Jun,"increase daily output of assemblies to keep up with rising demand 
 know what tools are available and how to use them when the inevitable quality problems associated with increased demand arise"
17-Jun,we need assistance in helping our supervisors understand how to coach employees to develop better problem solving skills
17-Jun,creating a community of problem solvers across all levels
17-Jun,we need to train our teams on a3 forms and root cause analysis
17-Jun,training our administrative staff how to implement lean in an office setting rather than blowing it off as something that doesn't apply to them
17-Jun,i'd like to bring david verble to campus to do his workshops on coaching
17-Jun,there is not a specific problem we are trying to engage front line staff in actively taking part in improvement work
17-Jun,we are attempting to educate our salary workforce about lean manufacturing what it means basic concepts maybe even a few simple tools
17-Jun,"training of our facility managers in lean ""tools"" so we can explained out capacity to do lean"
17-May,we have been woking with the toyota tools for more than 20 years and we do no get the result we want
17-May,leader standard work workshop
17-May,overwhelmed with inventory disorganization and incompetent staff
17-May,getting management and staff to stop bringing solutions when they have not defined the problem and engaged stakeholders
17-May,i'm looking to introduce lean to my sales organization so we can start focusing on value stream mapping eliminating waste and maximizing value for our customers
17-May,"	we are a management consultant firm and the team we are specifically interested in bringing lean to supports the federal government on health projects over the past few years our clients have been increasingly focused on incorporating lean fundamentals into their project management and have been requesting contractor staff with training and expertise in lean concepts problems we often tackle include helping the federal government with program implementation monitor and oversight of various healthcare entities oversight/development of it systems etc – and we are seeking to incorporate lean concepts to ensure the most efficient streamlined execution of these projects"
17-May,we are looking to enhance our coaching capability especially in the area of applying the principles of flow and pull in an office environment we have a team of 10 6 of whom are coaches to leaders including the ceo and sr vice presidents in various functions in the company 3 are support training workshops admin etc and 1 leader i surveyed our coaches and our biggest gap in terms of understanding and applying lean principles is in flow and pull our challenge is not just with repeatable admin processes but more so with highly variable deeply complex knowledge work such as large scale lending or equity deals of $1b that take 18 months to complete
17-May,integrate separate teams into one culture and team make sure all employees understand what respect and inclusion looks like and that disrespecting others is not acceptable including things like telling someone else to get you lunch because you are too busy playing hierarchy card and leaving others feeling devalued
17-May,teaching people in our organization how to apply a3 some practice and use the teaching from managing to learn and have been trained by lei we are currently in the beginning phases of integrating two large companies through the resent acquisition of our largest competitor
17-May,lack of lean knowledge and experience
17-May,i just joined woodstream and we need to start with some baseline training for the leaders of this business i would like to jump start our improvement timeline by getting the group through training as soon as possible
17-May,lean understanding and alignment of the manufacturing site leadership team
17-May,we would like to get our trainers trained in the twi method of train the trainer
17-Apr,how to deploy a culture of continuous improvement with managers in understandable terms without getting bogged down in ci/lean terminology
17-Apr,my company saf holland inc is interested in educating our management team on proper problem solving not the fundamental methods such as 8d but rather at a higher level which addresses individual biases and fallacies we would like to start by having our senior management team go through such a training session which could include a working session to develop an internal problem solving process and related tools which could then be introduced to the larger management team
17-Apr,aggressive production ramp with new product high turnover and many new employees
17-Apr,introduce lean thinking to all employees to help accelerate the cultural transformation
17-Apr,we are currently implementing the hoshin methodology into our business structure
17-Apr,address the everyday business challenges members of our association cedia www cedia net face running their business
17-Apr,as a non profit internal print shop we are facing upcoming budget cuts our plan of action is to gain metrics and do cost comparisons to outside vendors to establish our value to our company as a print shop we are well aware that we have plenty of room for improvement and in areas have found that our fully loaded costs may exceed those of the outside in order to remain viable we must become more efficient
17-Apr,faster product development through lean initiatives i attended a course at your site about 1 5 years ago about this process and would like to bring it into my organizariin
17-Apr,operational inefficiencies in our busy emergency department
17-Apr,lean implementation across three facilities
17-Apr,employee ownership of processes and work environment shop floor employee engagement poor housekeeping and process flow high scrap and rework rates poor machine up time and general maintenance and housekeeping practices
17-Apr,culture is dominated by episodic project based improvements project fatigue and lack of sustainment from past improvement efforts have led many staff members to disengage
17-Mar,"there are many problems that we have here but the vast majority are ""fruit"" problems or symptoms the ""root"" problem is a deep seated culture of doing just enough to get by to stay under the radar it's rooted in leadership and most of the ""boots on the ground"" will only rise to the bar that's expected of them there are a few of us however who desire more and have been trying to push a lean culture both up and down from our positions in the middle last month we had a change in executive leadership that is open and eager for transformation it is at leadership's behest that i'm finally able to reach out for help"
17-Mar,we are starting the process of using a3's for strategic management i have personally attended an a3 training session on policy management conducted by lei
17-Mar,stryker has a grass roots lean sigma council with site leads in manufacturing and commercial roles across the world site lead positions are volunteer on top of the normal day to day jobs the site leads to not have the tools to understand their maturity and create a plan to progress lean within the organization also site leads lack coaching techniques and skills to drive lean progress within their sites
17-Mar,we have introduced toyota kata the book to some groups and they have started to implement the tools provided currently there are some of the executive level groups that are not aware of the concepts and therefore inadvertently derail the progress being made under this method we would like to have a higher level overview of the kata/toyota concepts for executive teams
17-Mar,long lead times through the plant we operate in a low volume high mix environment and experience long lead times through our plant our plant layout and erp system encourage batching and push systems with excessive waste there is a drive to change the way we process our products but for the most part don't have the widespread knowledge and expertise to do so
17-Mar,we are in a transition from foundation building to sustaining and are looking to round out our lean management system with elements of hoshin planning/strategy deployment to tie all that we've built culturally together more intrinsically and ensure alignment remains strong throughout
17-Mar,we want to train about 10 20 people on lean concepts value stream mapping and kaizen
17-Mar,create a standard focused management system to the organization with a focus on continuous improvement and involving the frontline staff in development and structured problem solving while we have begun on the journey in exposing and training senior leadership we are looking for help engaging and training the rest of the management staff in the principles and philosophy of lean
17-Mar,building effective coaching relations improve coaches ability to drive improvements from team during event week improve questions to ask and problems to drill into
17-Mar,"we would like the course ""practicing lean fundamentals in an office environment"" we would like to improve the culture of continuous improvement in our global business services organization we have some team members who are bought in and they cascade this attitude throughout their organization however we also have others who are not engaged and therefore do not support ci within their org"
17-Mar,system / process failures are repeated over and over again lack of an effective process and stable process results in missed targets
17-Mar,understand and improve the processes
17-Mar,we are not efficiently producing our product and see that we have many areas we can improve on we have quite a few products that we manufacture and managing the flow of material and man power is a weakness of ours i have read a little bit about lean manufacturing and have toured other facilities that are using lean and feel we could benefit tremendously by incorporating lean principles into our production process you can see our products if you go to the website theheritageflag com
17-Mar,i was looking at my employee list to see who i should send to the lei training in seattle in april and it became clear to me that it may be more beneficial and cost effective to have lei come to us rather than sending 20 people to this event
17-Mar,we have a wide range of lean knowledge within our continuous learning and improvement cl&i team also a wide ability to effectively influence the business areas and leaders we interact with our coaches need to take on more of a coach role rather than a doer role
17-Feb,we are a manufacturing company who has been on our lean journey since 1999 we have solid shop floor ldms and kaizen programs aggressively utilized throughout our plants each year however in the past we have had less of a pull for business process or office kaizen we have conducted a fair number of office events with different degrees of success we often wonder if there are aspects related to facilitating this type of kaizen that we are missing we seem to be getting pulled for more and more of these types of events
17-Feb,we want to create a kaizen culture
17-Feb,our clients are focused on lean so we need to gain better knowledge what lean is all about
17-Feb,teaching lci staff a3 thinking
17-Feb,we are looking to help dig into how to effective do a value stream map and a3
17-Feb,reduction of errors/defects in manufacturing improve efficiency meet aggressive cost down target for 2017
17-Feb,we have a lean six sigma program running with big emphasizes on the production processes we are starting to expand the improvement projects to the transactional processes in our units in north america and i'd like to see how the lean office specifically could benefit our business
17-Feb,as part of knowledge base training for our employees i am planning on educating them on lean principles and their benefits of implementing on a real time use
17-Feb,increase educational level and skill set of management team at our warehouse and distribution center
17-Feb,we would like to get everyone to understand and implement a more lean culture for employees to be more open minded to ideas and becoming more engaged in making changes to processes and procedures in an attempt to lean
17-Jan,"we are at the infancy of the transformation program to create a culture of continuous improvement we are carefully building a culture of problem solvers with a3 thinking habit with result oriented customer focus and data driven discipline transforming the roles of our leaders is a critical part in this transformation effort to motivate the behaviors that we want to pull transform to a lean management systems we have acquired our leaders' support with the results from our bottom up approach over the past 2 years but now is the time to shift this paradigm and move onto the next phase at this point we need to convert our leaders from the ""supporters"" to ""drivers"" of the transformation journey"
17-Jan,lack of standard processes as well as standardized training of our production staff
17-Jan,we need to improve efficiency to help with decreased reimbursments
17-Jan,we are looking for a partner for short and long term assistance as we transform our organization we are in the process of identifying some key priority areas for improvement that need immediate attention at the same time we want to educate leadership and team members in lean as a foundation for transformation we are evaluating organizations to determine the best fit
17-Jan,we are looking for a partner for short and long term assistance as we transform our organization we are in the process of identifying some key priority areas for improvement that need immediate attention at the same time we want to educate leadership and team members in lean as a foundation for transformation we are evaluating organizations to determine the best fit
17-Jan,we are very early in our lean journey we are a $1b medical device company that has grown quickly by acquisition and are struggling to establish a cohesive focused improvement culture our operations leadership team members ~12 vps and functional directors have some basic lean knowledge and we have some basic lean management system tools in place however the team does not have a clear understanding or vision of their roles and responsibilities in establishing and developing a lean culture within their respective organizations
17-Jan,want to bring a pdca problem solving process into all operating facilities which will equip managers with a tool they can use to eliminate their department issues and mentor a continuous improvement process
17-Jan,minimize rework improve throughput reduce cost
16-Dec,team building
16-Dec,educate plant management quality management and new lean site champions in intro to lean manufacturing principles to set the stage for february launch of parkway lean journey
16-Dec,we are formally starting our lean journey and we need to be train and certified we are now in place an operational excellence model in place but we need to reinforce it with lean management and lean tools
16-Dec,i need to provide 1 day lean classes onsite for capella along with a lean practitioner problem solving classes in 2017 and currently don't have the resources internally ideally this person would be in the minneapolis area to avoid travel costs
16-Dec,camca is comprised of court administrators and clerks throughout the state of colorado i would like to introduce lean concepts to these courts to help them improve processes and at least look at situations in a different light i'm sure most of them are unfamiliar with lean thinking and practice i have some experience from working in the past for toyota and the university of michigan health system and know there are many aspects of lean that could be applied to court processes and procedures while we may be limited by statutes resolutions and ordinances there are tools that would be useful to our scope of work
16-Nov,changing the culture from owner decision based to employee driven continuous improvement and sustaining improvements for future growth
16-Nov,we are looking to expand the number of people who have lean skills we have piloted weekly huddles but would like to expand that and add training in pdsa
16-Nov,we would like information on doing a workshop here on practical problem solving from a lean perspective
16-Nov,mainly to break the ice on a new culture hopefully improving some attitudes through education
16-Nov,"multiple improvement initiatives still little improvement in business metrics 
read managing to learn a3 loved it now want to bring it back to our organization to help build a learning and problem solving culture"
16-Nov,opening a second distribution center our lean culture is well established of course always a long ways to go and we want to improve our improve our lean warehousing our vp of operations and qa manger have both attended this training very satisfied with it
16-Nov,i want a top expert in kata to train a 3 day workshop with our operations leadership team and lean coaches
16-Nov,overall profitability through better value to customer
16-Nov,lean transformation my assessment of our leadership from mid managers to front line supervisors is very weak in lean and leadership
16-Nov,how to gemba walk correctly
16-Nov,kickstart the kata knowledge i have read much myself but the prospect of extending the knowledge and practice into the rest of the company is daunting
16-Nov,we need to have our process and equipment engineers learn the basics of lean manufacturing and work more as manufacturing engineers
16-Oct,we are interested in training 40 50 people in our company on lean principles and ideally certification as qualified to be a lean practitioner
16-Oct,i lead our strategy and operations consulting practice and we have been getting more requests from clients to provide process improvement and infuse lean principles into their organizations we have a mix of experience with lean but would like to get everyone on my team a baseline understanding of lean and a set of common tools and techniques to provide value stream mapping to clients as well as thought partnership
16-Oct,we are a large growing revenue cycle shop that employs ~280 employees our leadership team needs trained in process review
16-Oct,we began our lean transformation about one year ago we have been instituting standard work across the facility to build a foundation for improvements we are seeking trainigns to help us cntinue our transformation
16-Oct,we are not trying to solve a specific issue or problem we have been working on implementing lean at our three sites for several years
16-Oct,we are in the midst of implementing a junior leadership program for our selected shop floor leader especially team leaders was looking for a training program for lean champions
16-Oct,"our company has definitely come a long way in the last 6 years change is ongoing this year alone we have invested tens of thousands of dollars transforming our production floor to be more u shape late last year we deployed a ""war on spoilage"" internal website which reports job spoilage numbers and allows us to dig into what happened with resolution great news right? yes but there is so much more to go off of everyone's engagement with 5 whys in regards to spoilage and problem solving only goes so deep it's an after thought in the laundry list each day and being the process improvement/qa supervisor i love doing this and need more of a fore front i need helping learning how to better coach other supervisors i wish to perform kata with the supervisors but it seems distant i am also getting a new quality employee that i can train from roots up the lean way"
16-Oct,we lack leaders with good problem solving skills
16-Sep,eliminate waste by value stream mapping to reduce lead times and reduce number of days to deliver fabric to customer
16-Sep,our distribution center is unorganized and wasteful
16-Sep,foremen and engineers productivity many bottlenecks in the operations decision making at supervisory level is poor overall performance of the operation is lacking/
16-Sep,one of the key focuses we are spearheading next year is process improvement in the organization think process hacking starting with key processes – most significant business lines/products or those where we limit our competitive advantage due to inefficiencies – reviewing every process and ‘cutting the fat’ to start the process next year we'll need players to be versed in lean management process improvement skills i’m looking for a basic working knowledge of lean so folks can contribute effectively
16-Sep,culture
16-Sep,we have started training improvement team members in addition to functional organization representatives on the basis of tools of lean using the toyota production system model we are using a value steam element team model to support the improvement teams and we have taken some of the supervisors and managers through the tps training we are looking at options for training specific to the role of supervisors and managers that will help us improve the environment that our improvement teams work within
16-Sep,improve quality processes and decrease waste
16-Sep,we are trying to take our high mix / low volume aerospace and defense improvement to the next level of excellence
16-Sep,we want to create a lean rules and principles education program suitable for all wage and salary employees
16-Sep,reducing wasted time and assets
16-Sep,"we have a rather laissez faire approach to lean & ci each business unit is left to its own there is no appetite for buzzwords powerpoint & bull@#$% we try to just focus on addressing serious operational issues nevertheless we are far from perfect every business unit is different has different problems different processes & products and is at a different stage on their ""journey"" we will be having a corporate wide meeting i would like to b ring something of value to the group some education on a topic or topics that all or at least many could find useful"
16-Sep,we are introducing more lean management concepts within the logistics department with the over all goal of deliverying a 3% increase on productivity
16-Aug,"strategic planning/deployment hoshin planning

we attended an lei seminar taught by pascal dennis on gtrd we tried the process for 3 iterations over 3 years but did not do it correctly because we didn't see measurable improvements i want to try it again"
